model,calibration_n,analysis_n,effect_sigma,w_over_sigma,trials,timing_shared_width_sigma,timing_local_width_sigma,false_admission,missed_effect,coverage,decision_coverage,floor_predictive_coverage,refusal,equiv_admission,equiv_refusal,component_dominance,joint12_dominance,median_r,median_guarded_floor_sigma
heavy_t3,5,10,2.0,2.0,30,0.0,2.0,,1.0,0.7138888888888889,1.0,1.0,1.0,0.0,1.0,0.9361111111111111,0.4666666666666667,3.562233161907339,14.046440213390472
heavy_t3,5,10,5.0,2.0,30,0.0,2.0,,1.0,0.7277777777777777,1.0,1.0,1.0,0.0,1.0,0.9666666666666667,0.6333333333333333,3.6018533039421214,13.94902974615207
heavy_t3,5,30,0.0,2.0,30,0.0,2.0,0.0,,0.5388888888888889,1.0,1.0,1.0,0.0,1.0,0.9611111111111111,0.6333333333333333,3.581354169637595,14.044766760897623
heavy_t3,5,30,2.0,2.0,30,0.0,2.0,,1.0,0.5305555555555556,1.0,0.9972222222222222,1.0,0.0,1.0,0.9694444444444444,0.7,3.5445107229108572,13.960803992976452
heavy_t3,5,30,5.0,2.0,30,0.0,2.0,,1.0,0.5222222222222223,1.0,1.0,1.0,0.0,1.0,0.9472222222222222,0.5666666666666667,3.6576217574917425,13.841999685142415
heavy_t3,8,10,0.0,0.5,30,0.0,0.5,0.0,,0.6583333333333333,0.925,0.9944444444444445,1.0,0.4583333333333333,0.5416666666666666,0.044444444444444446,0.0,1.5352807859401265,4.094391863609291
heavy_t3,8,10,2.0,0.5,30,0.0,0.5,,0.9944444444444445,0.6444444444444445,0.9277777777777778,0.9777777777777777,0.9944444444444445,0.4527777777777778,0.5277777777777778,0.07222222222222222,0.0,1.531543430693746,4.0729380372440325
heavy_t3,8,10,5.0,0.5,30,0.0,0.5,,0.18611111111111112,0.6472222222222223,0.9361111111111111,0.9972222222222222,0.18611111111111112,0.0,0.5166666666666667,0.06666666666666667,0.0,1.5436064063954338,4.0420183392383535
heavy_t3,8,30,0.0,0.5,30,0.0,0.5,0.0,,0.4638888888888889,0.8833333333333333,0.9833333333333333,1.0,0.475,0.525,0.03611111111111111,0.0,1.541781909172816,4.063383643605747
heavy_t3,8,30,2.0,0.5,30,0.0,0.5,,1.0,0.4361111111111111,0.9222222222222223,0.9861111111111112,1.0,0.5055555555555555,0.49166666666666664,0.04722222222222222,0.0,1.5366657171100466,3.9882097348540526
heavy_t3,8,30,5.0,0.5,30,0.0,0.5,,0.32222222222222224,0.34444444444444444,0.6833333333333333,0.9694444444444444,0.32222222222222224,0.0,0.6222222222222222,0.025,0.0,1.4881119455248868,4.24545329290857
heavy_t3,8,10,0.0,1.0,30,0.0,1.0,0.0,,0.6361111111111111,0.9861111111111112,0.9916666666666667,1.0,0.002777777777777778,0.9972222222222222,0.5527777777777778,0.0,2.0643209544355017,5.715048855534334
heavy_t3,8,10,2.0,1.0,30,0.0,1.0,,1.0,0.6305555555555555,1.0,0.9972222222222222,1.0,0.0,1.0,0.5833333333333334,0.0,2.088764881244405,5.621382092080271
heavy_t3,8,10,5.0,1.0,30,0.0,1.0,,0.7083333333333334,0.6166666666666667,0.9888888888888889,0.9916666666666667,0.7083333333333334,0.0,0.9944444444444445,0.575,0.0,2.0941051246317035,5.650068636610302
heavy_t3,8,30,0.0,1.0,30,0.0,1.0,0.0,,0.5333333333333333,0.9972222222222222,1.0,1.0,0.0,1.0,0.6222222222222222,0.0,2.1622629791134447,5.51472285005764
heavy_t3,8,30,2.0,1.0,30,0.0,1.0,,1.0,0.4111111111111111,0.9638888888888889,0.9972222222222222,1.0,0.0,1.0,0.5527777777777778,0.03333333333333333,2.068875140173528,5.681678340309053
heavy_t3,8,30,5.0,1.0,30,0.0,1.0,,0.7166666666666667,0.48333333333333334,0.9944444444444445,0.9944444444444445,0.7166666666666667,0.0,1.0,0.5416666666666666,0.0,2.061147176629037,5.671660498743234
heavy_t3,8,10,0.0,2.0,30,0.0,2.0,0.0,,0.75,1.0,0.9944444444444445,1.0,0.0,1.0,0.9638888888888889,0.6666666666666666,3.441723076131118,8.6345701202325
heavy_t3,8,10,2.0,2.0,30,0.0,2.0,,1.0,0.6722222222222223,1.0,1.0,1.0,0.0,1.0,0.9527777777777777,0.5333333333333333,3.249682557577268,8.788219519717114
heavy_t3,8,10,5.0,2.0,30,0.0,2.0,,1.0,0.7166666666666667,1.0,0.9972222222222222,1.0,0.0,1.0,0.9305555555555556,0.36666666666666664,3.307636445431985,8.731874995935698
heavy_t3,8,30,0.0,2.0,30,0.0,2.0,0.0,,0.5777777777777777,1.0,1.0,1.0,0.0,1.0,0.95,0.5,3.1958984996217463,8.78289030429943
heavy_t3,8,30,2.0,2.0,30,0.0,2.0,,1.0,0.5722222222222222,1.0,1.0,1.0,0.0,1.0,0.9361111111111111,0.43333333333333335,3.2175782044981514,8.812737870260442
heavy_t3,8,30,5.0,2.0,30,0.0,2.0,,1.0,0.525,1.0,1.0,1.0,0.0,1.0,0.9583333333333334,0.5333333333333333,3.3325831979438822,8.69022222900881
linear_drift,5,10,0.0,0.5,30,0.0,0.5,0.0,,0.7694444444444445,0.9777777777777777,1.0,1.0,0.002777777777777778,0.9972222222222222,0.019444444444444445,0.0,1.4051527208395929,8.161909069427384
linear_drift,5,10,2.0,0.5,30,0.0,0.5,,1.0,0.7666666666666667,0.9472222222222222,1.0,1.0,0.0,1.0,0.016666666666666666,0.0,1.409227226609012,8.160413525112553
linear_drift,5,10,5.0,0.5,30,0.0,0.5,,0.95,0.7777777777777778,0.9694444444444444,1.0,0.95,0.0,0.9944444444444445,0.027777777777777776,0.0,1.4231444362845973,7.856069496443838
