PID  PPID STARTED                           TIME COMM
  570     1 Fri Sep 18 17:41:19 2026       0:00.33 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  571     1 Fri Sep 18 17:41:19 2026       0:04.07 /usr/sbin/distnoted
  572     1 Fri Sep 18 17:41:19 2026       0:03.73 /usr/libexec/searchpartyd
  573     1 Fri Sep 18 17:41:19 2026       0:00.30 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  574     1 Fri Sep 18 17:41:19 2026       0:30.86 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  576     1 Fri Sep 18 17:41:20 2026       0:00.07 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  577     1 Fri Sep 18 17:41:20 2026       0:04.29 /usr/sbin/distnoted
  578     1 Fri Sep 18 17:41:20 2026       0:00.25 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  580     1 Fri Sep 18 17:41:20 2026       0:04.29 /usr/sbin/distnoted
  581     1 Fri Sep 18 17:41:20 2026       0:01.54 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  582     1 Fri Sep 18 17:41:20 2026       0:00.05 /usr/libexec/secinitd
  583     1 Fri Sep 18 17:41:20 2026       0:00.87 /usr/sbin/cfprefsd
  590     1 Fri Sep 18 17:41:20 2026       0:00.05 /usr/libexec/containermanagerd
  592     1 Fri Sep 18 17:41:20 2026       0:00.04 /System/Library/CoreServices/iconservicesagent
  593     1 Fri Sep 18 17:41:20 2026       0:00.13 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  594     1 Fri Sep 18 17:41:20 2026       0:23.54 /usr/sbin/distnoted
  595     1 Fri Sep 18 17:41:20 2026       0:00.03 /usr/libexec/applekeystored
